Week #,Away Team,Away Team Points,Away Team Offense Yards,Away Team Turnovers Forced,Home Team,Home Team Points,Home Team Offense Yards,Home Team Turnovers Forced
9,Chiefs,21,305,0,Bills,28,404,1
9,Seahawks,38,418,2,Commanders,14,290,1
9,Cardinals,27,340,3,Cowboys,17,333,0
10,Raiders,7,188,2,Broncos,10,220,1
10,Falcons,25,290,2,Colts,31,519,1
10,Browns,20,278,1,Jets,27,169,0
10,Saints,17,388,2,Panthers,7,175,1
10,Patriots,28,435,0,Buccaneers,23,371,1
10,Ravens,27,321,3,Vikings,19,365,0
10,Bills,13,376,2,Dolphins,30,370,3
10,Giants,20,431,0,Bears,24,391,1
10,Jaguars,29,213,2,Texans,36,412,2
10,Cardinals,22,335,3,Seahawks,44,372,2
10,Lions,44,546,0,Commanders,22,288,0
10,Rams,42,401,2,49ers,26,393,0
10,Steelers,10,221,0,Chargers,25,314,3
10,Eagles,10,294,2,Packers,7,261,1
11,Jets,14,245,0,Patriots,27,336,1
11,Commanders,13,379,0,Dolphins,16,311,2
11,Packers,27,296,2,Giants,20,336,0
11,Texans,16,315,1,Titans,13,229,0
11,Bears,19,320,2,Vikings,17,265,0
11,Chargers,6,135,1,Jaguars,35,345,1
11,Buccaneers,32,367,3,Bills,44,414,2
11,Panthers,30,486,1,Falcons,27,348,0
11,Bengals,12,297,0,Steelers,34,343,2
11,49ers,41,281,3,Cardinals,22,488,0
11,Seahawks,19,414,1,Rams,21,249,4
11,Chiefs,19,311,0,Broncos,22,342,1
11,Ravens,23,351,1,Browns,16,187,3
11,Lions,9,317,0,Eagles,16,272,1
11,Cowboys,33,381,1,Raiders,16,236,1
12,Bills,19,326,0,Texans,23,261,3
12,Colts,20,255,2,Chiefs,23,494,0
12,Seahawks,30,353,0,Titans,24,296,0
12,Vikings,6,145,0,Packers,23,288,3
12,Jets,10,282,0,Ravens,23,241,2
12,Giants,27,517,1,Lions,34,494,1
12,Steelers,28,345,2,Bears,31,328,2
12,Patriots,26,392,1,Bengals,20,307,1
12,Browns,24,270,1,Raiders,10,268,2
12,Jaguars,27,371,0,Cardinals,24,326,4
12,Eagles,21,339,2,Cowboys,24,473,2
12,Falcons,24,302,2,Saints,10,293,1
12,Buccaneers,7,193,0,Rams,34,333,2
12,Panthers,9,230,3,49ers,20,340,2
13,Packers,31,359,0,Lions,24,352,0
13,Chiefs,28,362,1,Cowboys,31,457,0
13,Bengals,32,382,5,Ravens,14,346,1
13,Bears,24,425,2,Eagles,15,317,1
13,Saints,17,294,1,Dolphins,21,298,2
13,Texans,20,364,0,Colts,16,281,1
13,Falcons,24,389,0,Jets,27,269,1
13,49ers,26,252,2,Browns,8,253,0
13,Rams,28,379,0,Panthers,31,358,3
13,Jaguars,25,272,2,Titans,3,188,0
13,Cardinals,17,386,0,Buccaneers,20,279,2
13,Vikings,0,162,2,Seahawks,26,219,5
13,Bills,26,372,2,Steelers,7,166,2
13,Raiders,14,156,1,Chargers,31,341,1
